score,max_tile,board_state
2520,256,[8 6 2 4 4 3 1 3 2 6 4 1 1 3 1 2]
5384,512,[9 6 4 3 5 7 3 4 2 3 4 3 1 2 1 2]
16272,1024,[10  2  1  2  9  7  3  4  2  8  6  3  6  4  2  1]
2920,256,[8 4 3 2 4 7 5 1 2 5 4 2 3 2 3 1]
11948,1024,[10  1  4  2  1  4  7  5  3  8  5  2  1  2  4  1]
7640,512,[1 5 4 1 8 7 5 2 6 9 4 3 5 6 3 1]
26496,2048,[11  4  3  2  9  6  4  3  8  4  5  2  4  3  2  1]
13324,1024,[10  5  4  1  7  6  5  2  8  7  3  1  6  5  1  2]
4776,512,[3 1 3 1 2 4 6 2 3 1 4 3 1 6 9 2]
16420,1024,[10  4  3  2  9  6  5  3  8  7  3  1  6  5  1  2]
11872,1024,[10  8  6  5  4  6  4  3  2  3  5  4  1  2  3  2]
3236,256,[8 5 3 1 1 7 5 2 6 4 3 4 4 3 2 1]
13364,1024,[10  6  3  2  1  8  4  1  8  6  3  2  1  5  4  1]
25272,2048,[11  1  2  1  9  3  1  4  1  7  3  2  6  4  2  1]
7208,512,[9 8 6 5 4 7 5 3 3 4 3 1 1 2 1 3]
7908,512,[9 3 5 1 7 4 7 3 6 8 4 2 5 3 2 1]
30492,2048,[ 3  6  4  2  1  7  5  3 10  4  3  2  2 11  2  1]
34552,2048,[11  2  1  2 10  5  3  1  9  6  5  3  7  3  4  1]
1740,128,[7 5 4 3 1 4 1 6 5 6 2 3 1 2 3 2]
6532,512,[8 4 3 2 1 6 5 3 3 9 4 2 5 4 3 1]
7208,512,[9 7 5 1 3 5 8 2 2 4 6 3 1 3 4 1]
15784,1024,[10  4  2  1  9  5  3  4  2  8  6  3  1  6  5  1]
6556,512,[9 4 6 2 3 6 8 4 2 3 4 3 1 2 1 2]
14236,1024,[10  3  2  1  9  7  3  2  5  4  5  3  4  3  4  2]
13780,1024,[10  4  3  1  9  5  4  3  2  6  5  2  4  3  2  1]
12916,1024,[10  3  2  1  1  7  3  2  7  8  5  3  6  5  4  1]
9260,512,[9 6 2 1 8 7 5 2 6 5 4 3 8 4 3 1]
10400,1024,[10  1  2  1  1  5  3  2  7  6  4  3  3  5  2  1]
7516,512,[9 5 4 2 8 6 5 3 6 7 4 2 4 3 2 1]
10024,1024,[ 3  2  5  1  1  4  6  3  6  2  5  2 10  4  2  1]
7136,512,[5 4 2 1 8 6 1 3 7 5 4 2 9 1 2 1]
5556,256,[8 4 2 1 7 6 4 3 1 8 5 2 7 4 2 1]
27592,2048,[11  4  3  2  9  6  4  3  8  7  5  2  6  4  2  1]
4700,512,[4 3 2 1 1 5 1 2 4 9 6 1 1 2 4 5]
15608,1024,[10  4  2  1  9  8  3  2  1  4  6  1  6  3  2  4]
6816,512,[9 2 1 2 3 5 4 1 6 8 5 2 5 6 3 1]
5704,512,[9 6 3 7 3 4 6 3 4 5 4 2 3 1 2 1]
17136,1024,[10  5  3  2  8  6  5  3  9  7  3  2  7  6  2  1]
6360,512,[9 8 6 4 4 5 4 3 3 2 3 2 2 1 2 1]
17648,1024,[10  6  2  1  7  8  5  2  9  7  4  1  7  5  3  2]
15776,1024,[10  4  3  1  9  5  4  2  8  6  3  1  6  5  1  2]
15412,1024,[10  3  2  1  9  7  4  3  7  6  5  2  6  1  2  1]
5744,512,[9 6 5 1 4 2 6 3 2 4 7 2 1 5 2 1]
13636,1024,[10  3  2  1  9  5  4  3  6  4  1  2  4  3  2  1]
16284,1024,[10  6  5  4  9  7  4  3  8  5  3  2  2  4  2  1]
5416,512,[1 5 3 2 2 6 5 3 3 7 4 2 9 3 2 1]
11380,1024,[10  6  5  2  1  5  8  3  2  4  2  1  1  2  3  2]
7744,512,[9 5 4 2 6 8 6 1 3 7 5 3 1 2 6 2]
17332,1024,[10  5  4  2  9  6  5  3  8  7  4  2  7  6  3  1]
15296,1024,[10  4  3  1  1  9  5  2  8  5  4  3  5  3  2  1]
5604,256,[8 5 3 1 7 6 5 2 8 4 2 1 7 2 1 2]
12384,1024,[10  3  2  1  7  5  1  3  8  6  4  2  6  4  2  1]
13732,1024,[ 3  6  4  1  2  3  5  9  1 10  1  3  3  5  2  1]
10676,1024,[10  2  3  2  3  5  6  1  2  7  3  4  1  6  5  1]
16236,1024,[10  4  2  1  9  7  5  3  8  6  4  2  5  3  2  1]
6020,256,[8 4 3 2 7 6 4 3 8 7 5 2 6 5 4 1]
3108,256,[8 1 3 2 7 3 2 1 6 5 3 2 5 3 2 1]
6812,512,[7 5 2 1 4 9 4 2 6 7 6 3 3 6 5 4]
6500,512,[9 5 3 2 6 8 4 1 5 4 3 2 4 3 2 1]
16416,1024,[10  5  4  2  9  7  5  1  8  6  3  2  6  3  2  1]
12092,1024,[10  8  7  5  3  4  6  4  2  3  4  1  1  2  3  2]
23408,2048,[ 1  3  2  1  3  6  4  2  4 11  3  1  8  7  6  4]
14764,1024,[10  6  4  3  1  7  5  1  9  6  4  3  5  4  3  1]
9248,512,[9 3 2 1 4 8 3 2 8 7 4 3 7 5 3 1]
7772,512,[9 6 5 3 8 7 6 1 5 6 4 3 1 3 2 1]
2512,256,[1 2 3 1 2 3 5 2 4 1 6 4 8 4 5 3]
5392,512,[9 1 2 1 7 3 1 2 1 6 5 3 2 5 4 2]
27968,2048,[11  4  3  1  1  7  5  3  8  9  4  2  7  6  3  1]
21104,2048,[11  3  4  2  1  2  7  5  2  3  2  1  1  2  1  2]
12664,512,[9 8 5 3 8 9 7 2 3 4 5 4 1 3 2 1]
7120,512,[9 8 3 2 4 7 6 1 3 5 4 2 2 4 2 1]
6440,512,[9 8 2 1 4 1 4 2 3 5 6 1 1 4 5 3]
7364,512,[9 3 2 1 8 5 3 4 1 7 6 1 6 4 3 2]
14688,1024,[10  4  3  2  9  5  4  1  7  6  3  2  6  3  2  1]
7408,512,[9 3 2 1 8 5 3 2 7 6 4 1 6 5 1 2]
16396,1024,[10  5  4  2  1  9  6  3  8  6  4  2  7  3  2  1]
12224,1024,[10  3  1  2  1  7  2  3  6  8  5  1  5  4  3  2]
5484,512,[9 4 5 4 4 6 7 2 5 4 3 1 2 3 1 2]
14716,1024,[10  5  4  1  9  6  5  2  1  7  3  4  6  4  2  1]
16244,1024,[10  4  2  1  1  9  4  2  8  7  5  3  6  5  4  1]
15544,1024,[ 6  4  1  2  1  8  3  1  9  6  4  2 10  3  2  1]
16456,1024,[10  4  2  1  9  6  3  2  8  7  4  3  6  5  3  1]
36952,2048,[11  5  4  2 10  7  5  1  9  8  4  2  5  7  2  1]
13356,1024,[10  5  4  2  8  7  5  1  7  6  4  3  6  5  2  1]
6736,512,[9 8 1 2 3 7 3 1 2 4 5 3 1 3 2 1]
5524,512,[1 3 2 1 3 5 4 2 5 2 7 1 9 6 5 4]
16844,1024,[10  4  3  2  8  7  5  3  9  6  4  2  7  3  2  1]
3108,256,[8 4 6 4 3 1 3 5 2 7 4 2 1 2 3 1]
15148,1024,[10  6  7  1  2  9  4  3  5  4  7  2  4  3  2  1]
27068,2048,[11  3  2  1  2  7  3  2  9  8  4  1  6  5  1  3]
3468,256,[1 2 1 3 2 3 4 2 3 6 5 4 5 8 7 6]
7460,512,[9 7 3 1 2 5 4 3 7 3 8 2 3 2 4 1]
16956,1024,[10  3  2  1  9  6  3  2  8  7  4  3  7  6  3  1]
13620,1024,[10  9  5  2  6  3  1  3  1  2  5  1  2  1  3  2]
7496,512,[9 8 3 1 4 7 5 3 6 5 6 2 4 1 3 1]
14612,1024,[10  6  5  3  9  7  3  2  3  6  4  1  1  2  1  2]
7832,512,[9 3 1 2 1 5 4 3 8 7 6 2 7 4 2 1]
7088,512,[8 2 1 2 5 4 5 1 9 7 3 2 1 6 2 1]
16460,1024,[10  4  3  2  9  6  5  1  8  7  4  3  5  6  2  1]
11892,1024,[10  4  3  2  8  5  2  1  1  7  4  3  2  5  3  1]
28576,2048,[11  6  2  1  1  7  5  2  8  9  6  3  7  6  5  4]
17508,1024,[10  4  2  1  9  8  4  3  8  2  5  2  1  7  3  1]
1312,128,[3 1 7 2 2 5 4 3 4 1 6 2 1 2 3 1]
7220,512,[9 4 3 2 8 5 4 3 7 6 3 2 4 5 2 1]
6840,512,[1 2 3 4 2 3 4 7 3 4 5 9 1 2 4 8]
27364,2048,[11  3  2  1  9  6  3  2  8  7  4  1  6  4  3  2]
3384,256,[8 4 3 1 6 5 4 2 7 6 3 1 2 3 1 2]
4508,256,[8 6 4 2 2 8 5 1 3 6 4 3 1 5 3 1]
32984,2048,[11  3  2  1 10  6  3  2  8  7  4  3  7  5  3  1]
17176,1024,[10  4  3  1  9  6  4  2  8  7  5  3  7  6  3  1]
5156,256,[8 4 1 2 1 7 5 4 8 6 3 2 6 4 2 1]
14884,1024,[10  9  2  1  1  7  5  2  7  5  4  1  4  1  3  2]
9840,512,[9 4 3 2 4 5 4 1 9 7 3 2 7 4 2 1]
23328,2048,[11  4  3  1  1  6  7  3  2  8  4  2  6  1  3  1]
12208,1024,[10  5  4  2  4  6  8  1  3  4  7  5  1  2  1  2]
7116,512,[3 2 1 2 6 7 4 1 8 1 5 3 9 4 2 1]
7528,512,[9 6 5 4 5 8 4 3 4 7 3 2 1 2 6 1]
23296,2048,[11  4  2  1  7  8  6  3  6  2  3  2  3  1  2  1]
12556,1024,[10  4  3  2  8  5  6  3  1  7  5  2  6  5  2  1]
9456,512,[9 6 4 3 1 7 5 2 9 5 4 1 1 4 1 2]
11420,512,[9 5 2 1 7 9 8 3 1 4 1 2 7 1 2 1]
7032,512,[9 4 3 2 1 3 6 5 3 7 3 2 1 8 2 1]
22764,2048,[11  3  1  3  8  4  6  4  4  1  5  2  2  6  2  1]
23460,2048,[11  5  4  2  8  6  5  1  7  5  3  2  4  3  2  1]
12468,1024,[10  5  3  1  7  6  4  3  2  8  5  2  6  3  2  1]
