score,max_tile,board_state
8152,512,[2 1 8 1 3 6 4 2 9 8 5 1 5 2 1 3]
3028,256,[5 4 3 1 3 2 7 2 8 5 3 5 4 3 2 1]
1920,128,[5 2 4 2 2 7 2 7 4 5 4 2 1 3 2 1]
5828,512,[9 4 2 1 6 5 1 2 7 6 5 1 5 4 3 2]
2848,128,[7 3 2 1 1 5 7 2 7 6 4 1 5 3 2 3]
3212,256,[4 3 2 1 1 8 4 2 5 7 5 4 2 3 6 1]
7488,512,[6 3 2 1 1 6 5 2 8 7 4 3 9 5 3 1]
1476,128,[7 1 3 1 1 3 5 2 6 5 3 1 5 3 1 2]
4196,256,[8 4 3 2 1 5 4 3 5 6 3 1 1 8 1 2]
2140,128,[5 3 2 1 6 4 3 2 7 6 5 1 6 5 4 2]
5680,512,[3 2 6 1 6 3 5 2 9 7 4 3 2 5 2 1]
3900,256,[7 5 6 3 3 4 8 1 2 5 7 3 1 2 3 1]
4764,512,[4 3 2 1 1 5 4 2 4 1 6 3 9 4 5 1]
5596,512,[4 6 3 2 2 7 6 1 1 9 5 3 2 3 2 1]
7008,512,[5 2 5 2 3 8 9 4 7 4 2 3 2 5 1 2]
1292,64,[5 6 3 2 2 1 6 1 6 5 3 4 4 3 2 1]
9740,1024,[ 5  4  2  1  2  6  4  3 10  4  3  2  5  2  4  1]
5316,512,[9 5 4 3 4 7 5 2 3 5 2 1 4 2 1 2]
1640,128,[7 6 3 2 3 4 6 4 2 3 5 2 1 2 3 1]
2872,256,[1 2 1 2 2 4 2 1 8 7 5 3 5 4 2 1]
2584,256,[1 5 3 2 4 8 6 5 2 4 5 4 1 3 2 1]
2400,128,[7 3 2 1 1 5 3 2 7 6 4 3 6 4 3 2]
1440,128,[6 5 3 2 2 4 7 3 3 5 3 2 1 2 4 1]
5448,512,[5 4 3 2 7 6 5 3 4 9 3 2 2 1 4 1]
6908,512,[1 5 3 1 2 7 5 2 8 4 2 3 9 3 1 2]
4664,512,[4 3 2 1 1 5 4 2 4 6 1 3 9 4 3 2]
1392,128,[7 1 3 2 1 2 5 4 2 5 6 2 1 2 3 1]
1420,128,[7 4 3 1 3 2 5 2 4 6 4 3 3 4 3 2]
6648,512,[6 3 2 1 1 8 3 2 9 5 4 3 6 1 2 1]
6476,512,[2 3 5 1 6 2 8 2 4 9 4 3 3 5 3 1]
7244,512,[4 3 2 1 5 7 4 2 8 6 5 3 9 2 4 1]
3060,256,[8 7 3 1 3 5 4 2 4 2 6 1 3 1 3 2]
3320,256,[6 5 2 1 1 2 3 4 8 5 7 3 5 3 4 1]
7752,512,[9 4 3 1 1 6 4 2 7 8 6 3 5 6 5 1]
5100,512,[6 5 2 1 5 4 1 3 9 6 5 2 4 3 2 1]
14168,1024,[ 1  5  3  1  2 10  1  2  9  7  5  1  5  3  2  3]
1228,64,[6 3 4 2 2 6 2 1 6 2 4 2 4 5 3 1]
2100,128,[7 2 3 1 3 1 5 2 6 4 3 7 4 3 2 1]
6128,512,[6 5 3 2 5 7 6 1 9 6 5 4 4 3 2 1]
15116,1024,[ 4  2  1  2  8  3  2  1 10  9  3  2  1  6  2  1]
3724,256,[6 4 2 1 7 6 3 2 8 5 4 3 6 4 3 1]
8848,512,[9 4 3 2 4 8 6 5 3 4 8 2 2 7 2 1]
3148,256,[6 5 2 1 1 7 1 2 3 8 5 4 1 4 2 1]
1896,128,[7 3 1 2 1 2 6 1 6 5 4 3 1 4 6 1]
2368,128,[6 5 4 3 3 7 2 1 1 4 7 6 3 2 1 2]
2396,256,[8 2 1 3 6 4 2 1 4 5 4 2 3 4 3 1]
2652,256,[6 3 2 1 5 1 3 2 8 6 4 3 2 4 3 2]
5672,256,[8 3 2 1 7 4 5 2 8 5 4 3 7 6 2 1]
3896,256,[6 5 3 1 7 6 5 2 8 5 4 3 6 4 3 1]
3196,256,[5 4 2 1 1 6 3 2 7 4 1 3 8 5 2 4]
1720,128,[4 5 3 1 5 6 5 2 7 5 2 1 5 3 1 3]
3916,256,[8 1 4 2 5 2 5 3 8 4 3 2 2 1 4 1]
3164,256,[8 7 6 2 1 3 5 4 2 5 2 1 4 3 1 2]
5440,512,[9 5 4 3 3 2 7 6 2 3 5 3 1 2 4 1]
7256,512,[5 3 2 1 8 6 3 2 9 5 4 3 7 4 3 1]
2252,128,[7 1 3 1 6 5 1 3 5 7 5 2 4 3 2 1]
4660,256,[1 8 2 1 3 4 5 3 8 7 4 2 5 4 3 1]
7692,512,[6 1 2 1 7 4 3 2 9 7 2 3 8 4 3 1]
13924,1024,[10  4  2  1  2  5  9  3  5  6  5  2  3  5  3  1]
4228,256,[6 5 3 2 7 6 2 1 8 5 4 3 7 4 3 2]
2364,256,[8 6 3 1 1 4 5 2 4 3 1 4 3 1 2 1]
5700,512,[9 4 2 1 2 6 4 2 5 7 5 1 3 6 1 2]
6440,512,[3 5 2 1 2 9 3 2 8 6 4 1 1 4 5 3]
3908,256,[8 4 2 1 4 2 4 2 7 6 5 4 2 7 3 2]
1144,64,[5 4 3 2 2 1 5 3 4 6 3 2 6 5 2 1]
1632,128,[4 3 1 2 6 5 2 1 7 1 4 2 6 4 3 1]
2804,256,[1 4 2 1 3 5 4 3 7 3 8 1 1 4 1 2]
2460,256,[8 3 2 1 3 5 3 2 5 6 5 1 3 2 1 3]
4092,256,[6 4 2 1 7 6 3 2 8 5 1 4 2 7 3 1]
3968,256,[4 5 3 1 3 7 6 2 7 8 4 3 1 5 3 2]
3048,256,[1 4 2 3 2 3 4 1 7 8 6 2 3 4 1 4]
1904,128,[7 1 2 1 5 4 3 2 7 5 4 3 4 3 2 1]
13692,1024,[ 1  3  2  1  2  4  3  2  9  6  5  3 10  5  2  1]
1492,128,[7 4 3 1 2 6 5 2 5 4 3 4 1 3 2 1]
1744,128,[2 3 2 1 1 5 6 2 6 2 5 3 7 4 3 2]
2444,256,[8 1 5 1 6 5 3 2 4 2 1 4 1 3 2 1]
716,64,[6 4 2 1 3 1 5 3 5 4 3 2 1 3 2 1]
2240,128,[7 5 3 2 6 3 5 4 2 7 4 3 1 4 2 1]
3084,256,[1 3 2 1 2 5 1 3 1 7 6 1 8 5 3 2]
5216,512,[4 5 4 1 2 9 5 4 1 7 3 2 4 3 2 1]
6924,512,[1 4 5 2 2 7 1 4 1 8 5 3 9 4 2 1]
4456,256,[7 4 5 1 6 5 3 2 8 6 2 1 6 7 1 2]
7100,512,[7 5 3 1 3 4 8 2 2 3 9 6 3 2 1 4]
3884,256,[7 3 1 2 5 1 3 1 8 2 4 2 7 6 5 1]
1560,128,[7 5 3 1 5 6 4 2 4 5 3 1 3 2 1 2]
6500,512,[9 1 3 2 8 4 6 3 4 1 3 2 6 3 2 1]
7076,512,[4 3 2 1 1 2 4 3 6 8 7 1 2 9 5 2]
3172,256,[8 3 2 1 1 7 5 2 3 5 6 3 1 4 3 2]
6304,512,[9 5 2 1 1 6 7 2 7 5 4 3 5 4 2 1]
