score,max_tile,board_state
12416,1024,[10  4  2  1  8  6  4  3  6  7  5  1  2  4  1  2]
20948,2048,[ 2  1  2  1  3  6  3  2  1  4 11  5  6  3  2  1]
7912,512,[2 7 6 1 1 8 3 2 9 6 1 3 7 4 2 1]
4636,512,[9 4 2 1 2 5 6 2 4 3 4 1 3 1 3 2]
4392,512,[2 1 2 1 1 9 3 2 3 5 1 3 5 3 2 4]
3328,256,[8 6 3 2 4 5 7 5 3 4 5 4 2 1 3 2]
8708,512,[9 6 5 3 3 1 3 9 2 4 5 4 1 3 1 2]
3572,256,[8 6 5 1 2 7 4 3 6 5 1 2 5 3 2 1]
14876,1024,[ 4  3  5  1  7  5  3  2  9  7  1  3 10  3  2  1]
11240,1024,[ 1  3  2  1  2 10  8  3  4  6  2  1  3  4  3  2]
1156,128,[3 2 1 3 2 3 7 1 4 5 3 2 5 3 4 1]
12912,1024,[10  5  2  1  3  7  4  3  7  8  6  2  5  1  3  1]
6580,512,[9 8 3 1 5 3 6 2 3 5 4 5 1 4 3 2]
1276,128,[1 4 2 1 2 1 3 2 7 6 5 3 2 1 4 2]
3260,256,[2 1 4 1 1 3 6 2 4 8 7 3 1 2 4 6]
644,64,[5 4 6 3 1 3 4 1 3 4 1 3 1 2 3 1]
5356,512,[1 2 1 2 2 3 5 1 4 7 4 2 9 3 6 4]
9280,512,[9 2 1 2 3 6 4 3 9 7 1 2 5 2 3 1]
7168,512,[9 7 4 3 4 3 8 6 2 4 5 4 1 2 3 1]
7584,512,[9 6 2 1 7 8 5 2 6 5 4 3 5 4 3 1]
27364,2048,[ 6  1  2  1  8  5  1  2  9  7  4  1 11  6  1  2]
1952,128,[6 4 2 1 3 5 4 2 6 7 6 3 2 1 4 1]
5464,512,[4 3 2 1 2 5 7 2 4 6 5 3 9 3 2 1]
10828,1024,[10  5  2  1  7  6  4  2  6  5  3  1  5  4  1  2]
2768,256,[5 4 2 1 6 8 4 3 5 6 2 1 1 2 4 2]
5728,512,[9 5 4 3 6 7 5 1 3 4 6 3 1 2 3 2]
6608,512,[9 8 6 2 4 6 5 1 2 4 3 4 1 3 2 1]
12020,1024,[10  5  3  2  1  8  6  3  7  2  1  2  4  1  2  1]
5684,512,[9 4 2 1 1 6 5 2 6 7 4 3 4 3 2 1]
8172,512,[9 5 3 1 7 6 1 2 8 7 2 3 6 5 4 1]
12212,1024,[10  3  4  1  5  7  8  2  6  5  4  1  3  2  1  3]
11888,1024,[ 1 10  3  1  3  8  5  7  1  5  4  1  2  3  1  2]
5532,512,[9 7 4 2 4 5 6 5 2 4 3 2 1 2 4 1]
31960,2048,[11  3  2  1 10  4  3  2  8  5  4  3  7  4  3  1]
2904,256,[8 2 4 2 4 5 7 4 5 2 3 2 2 1 2 1]
5396,512,[9 3 2 1 4 1 3 5 3 4 7 3 2 3 6 2]
1968,128,[7 2 3 1 2 5 7 5 5 4 3 2 1 3 2 1]
6344,512,[9 4 3 2 2 1 8 4 3 6 4 2 1 2 5 1]
6232,256,[8 7 5 1 7 6 3 2 8 2 1 3 7 4 2 1]
2320,256,[8 1 3 4 2 6 2 3 5 1 3 2 2 4 2 1]
4992,256,[8 5 3 1 1 7 5 2 8 6 2 4 5 3 1 2]
1328,128,[1 4 1 2 7 5 4 1 3 4 1 6 1 3 2 1]
3124,256,[8 4 3 2 3 1 4 1 6 7 5 3 4 3 4 1]
14668,1024,[10  3  2  1  2  6  3  2  9  7  4  3  6  5  3  2]
