score,max_tile,board_state
2072,128,[7 5 4 1 5 6 5 2 6 5 4 1 5 3 1 2]
5440,512,[3 6 5 1 7 1 4 3 9 5 3 2 4 3 2 1]
2800,256,[5 3 2 1 1 7 4 3 8 4 3 2 4 3 2 1]
6600,512,[8 1 2 3 9 3 1 4 6 5 3 2 3 6 2 1]
2960,256,[7 3 2 1 8 1 5 2 6 3 1 3 2 1 3 1]
5112,512,[9 1 4 1 7 2 5 2 5 4 1 3 3 1 2 1]
3516,256,[1 4 2 1 8 6 5 2 7 5 4 3 6 4 3 1]
1808,128,[6 3 6 4 3 7 5 3 4 5 4 2 2 1 3 1]
1496,128,[2 5 4 1 6 3 2 3 7 5 4 2 4 3 2 1]
2920,256,[6 5 4 1 8 1 5 3 6 5 3 2 5 3 2 1]
7276,512,[9 6 2 4 1 8 4 3 6 3 7 1 4 2 1 2]
2368,128,[1 5 4 2 5 7 5 1 7 6 3 2 5 4 2 1]
2008,128,[6 4 3 1 4 3 5 2 7 6 4 3 6 4 2 1]
3604,256,[6 5 3 1 8 6 1 3 7 5 4 2 5 4 2 1]
2744,256,[3 1 4 1 5 4 2 3 8 6 4 2 6 4 3 1]
2540,128,[7 5 2 1 5 6 5 2 7 5 4 3 5 4 3 1]
5740,512,[9 5 2 1 7 6 3 2 6 5 4 3 4 3 2 1]
5488,512,[3 5 1 2 7 6 2 1 9 5 3 2 5 3 2 1]
2156,128,[5 3 2 1 6 4 5 2 7 6 4 1 6 5 3 2]
3404,256,[3 4 3 1 6 7 8 2 5 4 3 6 4 3 2 1]
2332,256,[1 4 2 1 4 1 3 2 6 2 5 3 8 3 2 1]
4508,256,[6 4 3 1 7 5 4 2 8 7 5 3 6 3 6 1]
4072,256,[5 4 3 1 3 8 5 3 8 5 4 2 4 3 2 1]
5344,512,[9 4 3 1 7 1 4 3 6 4 3 2 1 5 2 1]
3868,256,[8 7 2 1 7 1 4 3 6 4 5 2 5 2 3 1]
1984,128,[1 5 3 2 2 6 4 3 6 7 6 4 1 4 3 1]
3712,256,[7 4 2 1 8 5 4 3 5 7 3 2 1 5 2 1]
1440,128,[5 3 2 1 6 1 4 3 7 4 3 2 5 3 2 1]
3116,256,[5 3 2 1 7 6 4 3 8 4 3 2 4 3 2 1]
6248,512,[7 1 2 1 9 6 3 2 7 1 4 3 4 6 2 1]
5628,512,[9 3 6 2 1 6 4 3 5 7 3 2 4 3 2 1]
3824,256,[1 2 5 1 6 8 4 3 7 4 3 2 2 1 7 1]
6472,512,[4 3 2 1 9 5 3 2 8 6 4 1 5 3 1 2]
1680,128,[5 2 1 2 6 3 2 3 7 5 3 2 2 6 4 1]
3200,256,[8 5 4 2 4 6 5 3 7 4 3 1 3 2 1 2]
3180,256,[7 3 1 2 8 4 2 3 6 5 4 2 5 3 2 1]
16212,1024,[10  4  2  1  9  5  3  2  7  8  4  3  6  5  3  1]
3608,256,[6 5 3 1 8 6 4 3 7 5 3 2 5 4 2 1]
3172,256,[5 1 2 1 7 2 1 2 8 6 4 3 5 4 2 1]
3340,256,[5 4 3 2 7 5 4 3 8 6 3 1 5 4 1 2]
4544,512,[1 4 3 2 2 6 4 3 9 4 3 2 4 3 2 1]
3244,256,[6 4 2 1 8 5 4 2 7 4 1 4 5 3 2 1]
6576,512,[7 2 3 1 9 3 4 2 7 5 1 3 5 7 3 1]
3428,256,[6 1 3 1 7 3 1 2 8 5 4 3 6 4 1 4]
4988,256,[7 5 4 1 8 7 5 3 7 6 4 2 6 4 3 1]
3756,256,[7 1 3 1 8 3 1 2 7 5 4 3 1 6 2 1]
2800,256,[6 4 2 1 5 1 4 3 8 4 1 4 6 5 3 1]
3720,256,[5 4 1 2 7 1 5 3 8 4 3 2 5 7 2 1]
1164,128,[2 4 1 3 3 5 3 2 7 3 4 1 1 2 5 3]
6128,512,[9 7 3 2 2 5 7 5 6 1 4 3 1 3 2 1]
1196,64,[6 4 2 1 2 6 1 4 6 3 4 1 5 1 3 2]
4680,256,[7 4 2 1 8 5 4 3 7 6 5 2 3 7 3 1]
1632,128,[4 5 4 2 6 4 2 1 7 5 4 2 5 3 2 1]
5356,512,[9 4 2 1 4 6 4 3 2 5 7 2 1 3 2 1]
7240,512,[9 5 2 1 8 6 3 2 7 5 4 3 5 3 2 1]
2504,128,[7 5 4 2 5 6 5 3 7 5 3 2 5 3 2 1]
6028,512,[4 3 2 1 7 6 4 3 9 4 3 2 7 3 2 1]
2452,256,[1 5 2 1 2 6 4 2 8 4 3 1 5 3 1 3]
1804,128,[4 7 5 1 1 6 4 3 6 5 3 2 4 3 2 1]
2384,256,[1 4 3 2 2 6 4 3 8 5 3 2 4 3 2 1]
3692,256,[6 4 3 2 8 5 4 1 7 6 3 2 6 3 2 1]
3836,256,[6 5 3 2 7 1 5 1 8 6 4 3 6 5 3 1]
4076,256,[8 6 4 2 3 2 8 3 5 4 3 2 1 3 2 1]
3760,256,[6 3 2 1 7 5 3 2 8 6 5 3 6 4 1 2]
2136,128,[6 5 4 2 7 6 5 1 6 5 4 3 1 2 3 1]
2852,256,[1 5 3 1 6 1 4 2 8 6 5 3 5 4 3 2]
844,64,[4 1 2 1 5 3 5 2 6 5 4 3 4 3 2 1]
7276,512,[8 7 3 1 3 6 4 3 9 4 3 2 6 3 2 1]
2408,128,[7 4 2 1 1 3 6 2 6 7 4 3 5 4 2 1]
