score,max_tile,board_state
7144,512,[9 3 2 1 5 7 4 3 8 5 3 2 6 3 2 1]
5248,512,[9 5 4 1 5 7 1 2 4 5 4 1 3 2 1 2]
3160,256,[4 3 2 1 5 6 3 2 7 5 4 1 1 8 3 2]
15108,1024,[10  6  5  4  2  7  4  3  7  9  3  2  1  3  2  1]
7640,512,[1 2 3 2 2 4 2 1 3 7 5 4 9 8 7 5]
12404,1024,[10  6  5  2  5  8  7  1  3  5  4  3  1  2  3  1]
3168,256,[8 6 5 1 1 3 7 3 4 5 4 2 1 3 2 1]
8036,512,[1 6 2 1 9 8 7 2 3 7 4 1 1 6 5 3]
3156,256,[1 2 1 2 3 4 3 1 4 3 5 3 8 7 6 5]
5860,512,[2 4 2 1 6 5 3 2 4 7 4 3 5 9 5 6]
15416,1024,[10  5  3  1  1  8  6  3  9  5  1  2  1  4  3  1]
9580,1024,[ 2 10  2  1  1  3  5  3  2  4  3  6  3  1  2  1]
16084,1024,[10  9  8  5  4  5  7  4  3  4  5  3  2  1  3  1]
27924,2048,[ 7  6  3  1  8  7  1  3  9  5  4  2 11  3  2  1]
2940,256,[8 6 7 3 3 1 3 1 2 4 1 4 1 2 3 1]
5344,512,[2 4 2 1 1 6 1 2 4 2 5 1 9 4 7 2]
6240,512,[3 9 2 1 1 6 3 5 3 2 8 1 2 4 1 3]
7504,512,[9 2 1 2 1 3 5 1 7 8 3 2 1 7 5 1]
7304,512,[9 5 3 1 8 6 1 4 7 4 3 2 6 1 2 1]
10724,1024,[10  5  3  2  5  6  5  3  4  7  4  2  2  5  3  1]
16460,1024,[ 6  4  3  1  8  7  4  3  9  6  5  2 10  4  2  1]
6044,512,[9 7 1 2 1 5 3 1 5 2 1 2 6 1 7 1]
3692,256,[8 6 2 1 1 7 3 2 6 5 6 3 5 2 3 1]
940,64,[6 3 4 1 4 6 3 2 5 4 2 1 3 2 1 3]
7628,512,[9 8 6 5 5 6 7 4 4 5 4 3 1 3 2 1]
3220,256,[8 6 5 4 2 4 7 2 4 5 4 1 1 2 1 2]
6384,512,[8 1 4 5 1 2 6 2 2 3 9 1 1 5 1 2]
2420,256,[8 3 5 2 3 5 2 1 1 2 6 3 2 4 1 2]
4516,256,[8 4 3 2 2 6 4 1 6 8 5 2 5 4 3 1]
7976,512,[5 3 2 1 2 9 4 2 7 8 5 4 6 7 4 1]
2536,128,[7 6 5 4 6 7 4 1 3 4 5 4 2 1 2 1]
1424,128,[3 4 2 3 5 7 5 6 1 2 4 3 2 1 3 1]
3476,256,[8 5 4 3 2 6 5 2 6 7 4 1 1 2 1 2]
8216,512,[9 7 2 1 5 8 4 2 7 6 5 3 6 3 4 2]
3108,256,[8 7 6 4 4 2 1 3 3 4 5 2 2 1 3 1]
14720,1024,[10  2  1  2  1  5  2  1  7  9  5  2  2  7  2  1]
16348,1024,[10  3  2  1  9  5  4  3  8  6  3  1  6  7  1  2]
1464,128,[2 4 3 1 4 6 1 2 6 1 2 1 7 2 1 2]
12368,1024,[ 1  2  1  2  2  4  3  1  4  5  6  3 10  8  7  6]
14564,1024,[10  5  4  2  4  3  5  3  7  6  4  2  2  9  3  1]
7328,512,[1 2 3 1 2 1 4 2 1 7 3 1 9 8 7 4]
21532,2048,[ 4  3  2  1  1  7  3  2  3  6  1  5 11  5  2  1]
5584,512,[9 6 2 1 3 4 7 6 1 3 5 3 3 2 1 2]
2104,128,[3 1 5 1 1 3 7 2 7 6 2 3 1 5 1 2]
5064,256,[8 5 3 2 7 6 4 3 8 5 3 2 5 4 2 1]
15524,1024,[10  5  4  1  4  8  5  3  6  9  4  2  1  4  2  1]
6608,512,[9 5 4 2 4 6 5 3 3 8 4 2 2 5 3 1]
1604,128,[7 4 3 1 1 5 4 2 3 1 6 1 6 2 1 2]
13688,1024,[ 3  2  3  2  2  4  5  1 10  6  4  5  1  9  2  1]
31788,2048,[11  5  3  2 10  6  5  1  8  5  4  2  5  4  2  1]
5040,512,[2 1 2 1 4 3 7 2 3 5 4 3 9 3 2 1]
3936,256,[8 5 4 2 1 6 5 3 7 4 7 2 2 1 3 1]
7676,512,[9 5 4 1 4 7 5 3 8 4 3 2 7 3 2 1]
6256,512,[9 4 3 1 2 5 4 2 5 2 1 3 8 5 3 2]
