score,max_tile,board_state
13120,1024,[ 8  2  8  4  4  5 10  3  3  1  6  4  1  3  2  1]
12936,1024,[10  5  2  1  1  6  5  4  7  8  4  2  3  7  2  1]
4492,256,[8 3 2 1 7 4 3 2 1 5 8 3 2 4 2 1]
23640,2048,[11  4  3  1  8  5  4  2  7  6  1  3  6  5  2  1]
5296,256,[8 6 4 1 1 7 6 2 6 8 4 1 4 2 1 2]
6884,512,[6 4 3 2 1 6 5 3 9 8 4 2 1 2 6 1]
3116,256,[8 6 5 2 1 2 7 3 2 3 5 2 1 2 3 1]
4236,256,[7 4 2 1 2 7 4 2 8 6 5 3 6 5 4 1]
1436,128,[1 2 3 1 2 3 4 2 5 4 2 1 7 6 5 3]
4652,512,[1 3 2 1 2 4 9 2 4 6 5 4 1 4 3 1]
6488,512,[1 2 3 1 2 3 5 2 4 6 3 5 9 8 4 2]
13940,1024,[10  3  4  2  1  6  2  1  6  9  4  2  3  5  2  1]
5772,512,[9 1 3 2 4 7 4 3 3 5 3 2 7 3 2 1]
7364,512,[6 5 7 2 3 8 6 4 2 4 9 3 1 3 2 1]
8492,512,[9 4 3 2 8 6 5 3 6 8 3 2 5 3 2 1]
16144,1024,[10  8  2  1  1  9  5  3  6  5  7  2  3  1  4  1]
7612,512,[9 3 2 1 1 7 1 3 8 6 4 2 1 7 2 1]
3464,256,[6 4 3 2 7 5 2 3 8 4 1 2 6 5 2 1]
12280,1024,[10  4  1  2  8  6  5  1  7  5  4  3  5  3  1  2]
5524,512,[1 4 2 1 2 5 3 2 4 7 5 4 9 6 3 2]
13452,512,[9 3 2 1 1 7 6 2 9 8 5 3 8 7 3 2]
1456,128,[1 7 1 2 3 6 5 1 4 3 4 3 3 2 5 1]
3384,256,[5 4 2 1 3 7 5 3 6 5 3 2 8 2 5 1]
11356,1024,[10  8  6  4  3  4  5  3  2  1  2  4  1  2  3  1]
5836,512,[9 7 5 4 3 1 7 3 5 3 2 1 2 1 3 2]
6492,512,[9 4 3 1 8 5 4 3 5 6 3 2 2 1 4 1]
5764,512,[1 2 1 3 3 4 3 1 5 6 4 3 9 7 6 5]
1840,128,[6 2 5 1 1 5 3 6 4 7 4 1 1 5 1 2]
9644,512,[7 6 2 1 8 7 5 2 9 8 3 1 1 5 4 2]
6736,512,[2 4 3 1 1 9 5 3 8 1 4 2 7 3 2 1]
6528,512,[2 6 2 1 1 9 4 2 3 6 3 1 8 3 1 4]
2016,128,[2 4 1 2 4 5 2 1 5 7 5 2 7 4 2 1]
5984,512,[1 3 2 1 9 7 3 2 7 6 2 1 1 5 4 3]
12328,1024,[ 5  4  3  1  7  6  5  2  8  5  3  1 10  4  1  2]
9420,512,[9 2 3 2 7 5 2 3 9 3 4 2 6 5 3 1]
14052,1024,[10  5  3  1  1  6  4  3  9  5  2  1  4  6  1  2]
7120,512,[9 5 2 1 8 3 1 3 4 7 6 2 1 5 4 1]
7676,512,[5 1 3 1 7 2 5 2 8 7 4 3 9 5 3 1]
13864,1024,[10  3  2  1  9  6  1  3  6  3  4  2  5  1  2  1]
12404,1024,[ 8  4  5  1  1  6  1  2 10  7  2  6  1  5  3  1]
7068,512,[9 4 5 3 1 6 3 1 7 8 1 2 4 3 2 1]
3276,256,[5 7 4 2 2 3 8 5 5 6 3 2 1 3 2 1]
2096,128,[3 7 4 1 2 6 5 2 7 2 4 1 1 4 1 2]
3356,256,[8 1 2 1 1 7 1 4 6 4 2 1 5 6 4 2]
5476,512,[9 3 1 2 3 5 4 3 2 6 7 2 1 4 5 1]
3012,256,[2 3 2 1 3 7 6 4 5 8 2 1 3 2 1 2]
12580,1024,[ 6  4  3  2 10  2  5  1  8  5  4  3  7  6  2  1]
16204,1024,[10  3  2  1  9  4  3  2  8  7  5  3  6  5  4  1]
7508,512,[9 4 3 2 8 6 4 3 6 7 5 1 5 4 3 2]
9328,512,[8 5 4 1 7 4 3 2 9 7 1 3 8 4 3 1]
14428,1024,[ 1  5  3  2  2  7  6  1  9  5  4  2 10  3  2  3]
8868,512,[6 3 2 1 2 8 3 2 8 7 5 1 9 5 4 2]
10412,1024,[ 1  2  1  2  2  7  5  1 10  6  4  2  2  5  2  1]
10336,1024,[10  1  3  2  1  3  4  3  3  7  5  2  2  6  2  1]
7276,512,[9 8 7 5 3 1 5 3 6 5 3 2 4 3 2 1]
2380,256,[3 4 2 1 2 8 3 2 4 5 6 3 3 2 4 1]
7640,512,[9 5 4 1 8 6 5 2 6 7 4 3 4 5 2 1]
5464,512,[1 3 2 1 2 4 5 2 3 7 4 3 9 6 5 4]
8220,512,[5 4 2 1 7 6 4 3 8 7 5 2 9 6 4 1]
3412,256,[6 4 5 2 1 6 2 1 7 5 1 2 8 3 2 1]
1612,128,[7 1 3 2 2 4 6 3 4 6 5 1 1 2 1 2]
1704,128,[7 1 6 4 1 3 5 2 2 5 3 1 1 6 4 2]
3004,256,[8 2 3 2 3 1 2 1 6 5 4 3 2 7 2 1]
2344,256,[3 1 3 2 5 4 2 3 6 3 4 2 8 1 2 1]
12244,1024,[ 4  6  2  1  7  5  4  2  3 10  5  3  2  8  2  1]
1936,128,[3 4 2 1 1 3 5 3 4 7 3 1 7 5 4 3]
6584,512,[2 4 2 1 1 7 5 2 2 1 7 4 9 7 5 2]
11708,1024,[ 2  1  3  1  7  3  1  2  8  2  4  3 10  5  2  1]
3576,256,[8 5 2 1 1 7 6 2 5 6 4 3 2 5 3 2]
28220,2048,[11  6  2  1  9  5  3  2  8  7  4  3  7  6  5  1]
7536,512,[7 5 3 1 6 3 5 2 8 6 4 3 9 5 1 2]
5020,512,[6 3 2 1 4 5 6 3 5 9 3 2 3 1 4 1]
5436,512,[9 3 2 1 1 5 3 2 7 6 4 1 4 5 1 2]
5616,512,[3 4 3 1 6 5 4 2 7 6 3 1 9 3 1 2]
6340,512,[1 2 6 3 3 4 8 4 2 9 5 3 1 2 1 2]
5468,256,[8 4 3 1 6 7 4 2 8 3 2 1 7 2 1 3]
7344,512,[9 3 2 1 8 5 3 2 7 6 2 1 6 4 5 2]
14852,1024,[10  3  2  1  4  6  3  2  6  7  6  3  3  9  4  1]
14632,1024,[10  3  5  2  9  6  4  1  7  4  3  2  6  3  2  1]
1408,128,[7 3 2 1 3 1 3 2 5 6 5 3 2 4 2 1]
7092,512,[9 8 2 1 4 5 3 5 5 4 7 3 1 2 5 1]
12692,1024,[10  2  3  2  4  6  4  3  8  7  3  2  7  3  2  1]
7008,512,[9 3 2 1 6 8 7 3 3 5 3 2 2 1 2 1]
6432,512,[9 3 2 1 2 8 1 2 3 5 4 5 6 4 3 1]
7520,512,[1 2 3 2 3 5 6 3 8 7 5 4 9 6 3 1]
3272,256,[7 5 4 3 4 8 6 4 2 5 4 3 1 3 2 1]
5612,512,[9 4 3 1 1 6 4 2 5 7 2 1 4 6 1 2]
7432,512,[8 5 3 2 9 6 4 3 7 5 3 2 6 3 2 1]
11460,1024,[10  5  3  2  3  1  8  4  6  5  3  2  4  3  2  1]
7312,512,[9 2 1 2 8 5 2 1 1 7 4 3 6 3 6 1]
11368,512,[9 6 2 1 8 7 4 3 9 4 5 1 6 3 1 2]
12448,1024,[10  5  3  2  8  7  6  1  3  6  5  2  2  4  3  1]
9716,512,[9 7 5 4 2 3 9 3 1 2 7 2 2 1 3 1]
13744,1024,[ 2  5  2  1  5  9  1  2  1  6  4  3 10  4  1  2]
7072,512,[9 1 2 1 7 6 4 3 8 5 3 2 4 3 2 1]
2172,128,[7 4 3 2 1 7 4 3 6 5 1 2 1 2 5 1]
5460,512,[4 5 4 1 6 4 2 3 7 5 1 2 9 1 2 1]
14140,1024,[ 9  5  7  1  4 10  4  2  3  5  3  1  1  2  1  2]
5544,512,[9 1 5 1 6 5 3 2 5 7 4 3 1 4 3 1]
5184,512,[2 3 2 1 3 5 3 2 4 1 4 3 9 7 5 4]
10948,512,[7 3 5 4 9 7 4 3 7 6 5 2 2 9 2 1]
7160,512,[5 1 2 1 2 6 5 3 7 9 4 2 4 8 3 1]
2832,256,[8 7 5 3 2 5 3 2 3 1 2 1 1 2 4 2]
7204,512,[5 4 3 2 7 6 4 1 8 5 3 2 9 1 2 1]
5600,512,[1 5 3 2 2 6 5 1 5 7 2 3 9 5 3 2]
3136,256,[8 2 3 1 7 1 5 4 3 5 1 2 2 6 2 1]
2536,256,[2 3 2 1 3 4 5 4 4 6 3 1 8 5 4 2]
4396,512,[3 5 2 1 1 3 4 3 3 9 3 1 1 2 5 2]
4252,256,[7 6 4 1 1 8 5 3 7 5 4 2 6 4 2 1]
3152,256,[4 1 3 2 1 3 7 3 8 6 5 2 1 5 3 1]
9684,512,[9 4 3 1 1 6 4 3 9 4 5 2 7 6 3 1]
6460,512,[9 4 3 1 8 5 1 3 6 4 3 2 5 3 2 1]
14592,1024,[ 5  4  3  1  7  5  1  4  9  6  4  2 10  5  2  1]
1928,128,[7 4 2 1 5 7 4 3 3 2 5 1 4 1 4 2]
7388,512,[4 3 2 1 2 6 3 8 7 5 9 6 3 4 3 2]
9548,512,[8 5 3 2 9 7 5 3 8 5 4 2 7 4 3 1]
8776,512,[8 3 1 2 2 8 4 1 7 9 5 2 6 3 2 1]
9748,512,[9 5 3 2 2 6 5 3 9 7 4 2 3 6 3 1]
5572,512,[6 5 4 3 1 4 9 5 5 7 4 3 2 1 2 1]
6912,512,[1 3 2 1 9 8 4 2 2 7 5 1 3 5 4 2]
1508,128,[1 3 2 1 2 1 3 2 4 5 4 3 7 6 5 4]
6584,512,[9 3 6 2 2 8 2 3 3 6 4 2 1 5 2 1]
11416,512,[9 4 3 2 8 6 5 3 9 7 4 2 6 4 2 1]
4384,256,[8 7 6 2 4 6 7 1 6 5 2 3 3 2 1 2]
15252,1024,[ 9  8  5  4  3 10  4  3  4  5  3  2  3  1  2  1]
3196,256,[3 1 2 1 1 2 4 2 3 5 7 4 8 6 5 3]
10376,1024,[ 2  4  2  1  5  6  3  2  1  7  4  3 10  4  3  1]
3380,256,[8 6 4 3 1 3 7 6 4 5 4 2 2 1 2 1]
11512,1024,[10  5  4  3  5  8  3  1  3  6  2  3  1  5  1  2]
10464,1024,[ 2  1  3  1  1  2  6  2  3  7  3  1 10  4  6  3]
5504,512,[9 5 4 2 7 6 5 3 2 1 4 2 1 5 2 1]
5724,512,[7 2 3 1 1 9 5 4 3 7 4 2 2 1 3 1]
7004,512,[1 6 5 1 8 5 4 3 9 6 3 2 6 3 2 1]
3960,256,[8 4 2 1 6 5 4 2 5 7 6 3 4 6 5 1]
10820,512,[1 9 2 1 2 8 5 2 9 5 7 3 1 4 3 1]
10896,1024,[10  1  3  2  7  6  4  1  3  7  2  3  1  2  1  2]
27580,2048,[11  6  3  1  2  9  4  3  8  6  5  2  7  5  3  1]
13796,1024,[10  4  1  2  9  5  4  3  5  6  2  1  4  2  4  2]
10660,1024,[ 5  4  3  1  2  6  5  2  7  5  4  3 10  4  3  2]
6088,512,[9 3 2 1 8 4 3 2 4 5 4 1 1 4 3 2]
6776,512,[9 4 5 1 3 8 7 2 1 3 1 3 2 4 2 1]
11152,512,[9 5 3 1 7 6 5 4 2 9 4 2 3 8 2 1]
7512,512,[8 6 4 1 3 5 7 2 9 6 4 3 5 3 2 1]
5952,256,[8 5 4 1 7 6 5 2 8 7 3 1 6 4 1 2]
8252,512,[6 5 1 2 7 6 2 3 8 7 5 2 9 5 3 1]
1588,128,[3 5 4 2 1 6 5 4 7 4 3 2 1 2 5 1]
3216,256,[8 4 3 2 1 7 5 3 6 5 4 2 1 4 3 1]
16824,1024,[10  2  1  2  9  7  3  1  8  6  5  3  7  4  2  1]
4452,256,[6 3 1 2 2 8 2 1 8 6 5 2 5 3 4 1]
