score,max_tile,board_state
57440,4096,[12  5  3  2 10  6  4  3  8  7  5  2  7  5  4  1]
6004,512,[2 1 2 1 1 4 1 3 3 7 6 2 9 3 7 5]
14504,1024,[10  2  3  2  9  5  2  1  7  6  4  2  5  4  2  1]
13480,1024,[10  1  3  1  9  3  1  2  2  6  4  3  1  4  3  1]
22268,2048,[11  5  4  2  3  8  1  3  2  4  5  1  1  2  3  2]
9640,512,[2 3 1 2 6 5 4 6 2 9 7 9 1 2 3 5]
12140,1024,[10  3  4  2  8  5  6  1  3  7  3  4  1  4  2  1]
3636,256,[8 6 5 4 5 7 4 3 4 5 6 2 1 3 2 1]
7152,512,[9 7 6 5 2 5 8 4 1 3 4 2 2 1 3 1]
1788,128,[1 2 3 1 2 3 6 4 3 5 4 2 7 6 5 3]
1656,128,[1 2 3 1 2 4 6 2 3 6 5 1 7 4 3 2]
30700,2048,[11  5  3  2 10  6  4  3  2  7  5  2  5  3  4  1]
7008,512,[4 9 8 7 2 4 5 6 1 2 3 2 2 1 2 1]
1892,128,[7 3 1 4 6 5 3 1 5 2 4 2 4 6 5 1]
16512,1024,[10  6  5  4  9  7  4  2  8  6  2  1  1  5  3  2]
7176,512,[9 3 1 2 7 5 4 1 8 6 3 2 5 4 2 1]
27940,2048,[ 7  5  2  1  8  7  3  2  9  6  5  3  2 11  4  1]
29104,2048,[11  5  2  1  9  8  5  2  8  6  4  3  7  5  3  2]
16116,1024,[10  3  2  1  8  4  3  2  3  7  4  3  9  6  5  1]
9668,1024,[ 1  5  3  1 10  3  6  5  1  4  3  2  2  1  2  1]
28080,2048,[11  4  3  1  2  7  4  2  8  9  6  1  7  6  1  2]
13792,1024,[10  5  4  2  4  9  6  4  2  4  5  2  1  2  1  3]
12064,1024,[ 2  6  5  2  1  7  1  4 10  8  4  3  1  3  2  1]
12860,1024,[10  6  1  2  8  7  3  1  4  5  4  2  3  7  3  1]
16124,1024,[10  5  1  2  2  9  2  3  8  7  3  1  6  5  1  2]
3744,256,[1 2 3 1 2 3 2 4 4 5 7 5 8 7 5 3]
3400,256,[8 3 2 1 1 6 3 2 7 5 4 3 6 4 3 1]
3596,256,[1 2 3 1 2 3 4 6 4 5 6 5 8 7 5 3]
16368,1024,[10  3  2  1  9  4  3  2  8  6  5  3  6  7  2  1]
17648,1024,[10  4  3  2  7  5  4  3  1  9  8  2  2  8  5  1]
11424,1024,[10  1  3  2  8  3  2  1  6  5  3  2  5  4  2  1]
7196,512,[9 8 7 4 5 6 4 3 1 3 5 4 2 1 3 1]
11272,512,[9 5 4 1 1 8 6 3 9 7 3 2 3 6 2 1]
12432,1024,[10  5  3  1  8  6  5  2  7  5  2  3  5  4  3  2]
5648,512,[9 3 2 1 6 7 4 2 1 4 5 3 6 2 4 1]
5376,512,[9 7 6 4 2 4 5 3 1 3 4 2 2 1 3 1]
17796,1024,[10  4  5  2  9  8  3  1  8  6  1  2  7  3  2  1]
7512,512,[9 6 4 1 3 7 6 2 6 8 4 3 1 3 2 1]
11364,1024,[ 1  2  3  1  2  4  1  3  3  5  3  1 10  6  8  4]
21624,2048,[11  2  1  2  7  4  3  1  6  5  4  2  5  4  3  1]
16520,1024,[10  3  2  1  9  7  3  2  8  5  4  3  7  4  3  1]
22124,1024,[10  3  2  1  8  6  4  3 10  7  5  2  7  6  3  1]
27772,2048,[11  3  1  2  9  6  3  1  8  7  2  3  7  5  1  2]
14640,1024,[10  3  2  1  9  4  3  2  7  6  4  1  6  5  1  2]
25756,2048,[11  5  3  1  1  6  4  2  7  9  5  3  5  4  2  1]
8872,512,[9 4 5 1 1 6 4 3 7 8 3 2 8 4 2 1]
15472,1024,[ 1  4  3  1  2  8  5  2  1  9  6  4 10  5  2  1]
3064,256,[8 3 4 3 1 7 5 1 2 4 6 3 1 2 3 2]
9664,1024,[10  3  2  1  4  6  4  2  3  4  3  5  2  1  2  1]
5388,512,[9 1 3 1 6 5 1 2 5 7 4 1 1 4 3 2]
4880,512,[1 2 3 1 2 3 5 4 3 5 4 2 9 6 5 3]
6440,512,[1 2 3 4 2 3 4 5 3 6 8 4 4 3 1 9]
11292,512,[9 5 4 3 8 7 5 1 9 6 4 2 5 3 2 1]
5064,512,[2 1 2 1 7 4 3 2 1 3 5 4 9 4 3 1]
6616,512,[9 1 3 2 1 2 8 4 6 5 6 3 1 4 2 1]
14792,1024,[10  7  6  5  5  6  9  4  1  2  4  5  2  1  2  1]
25828,2048,[11  3  1  2  9  5  3  1  7  6  4  3  6  5  3  1]
13624,1024,[10  3  2  1  9  4  1  2  6  3  2  1  5  4  3  2]
12260,1024,[10  4  3  1  6  5  4  3  8  7  3  2  5  4  2  1]
8988,512,[2 9 1 2 1 2 3 1 2 9 7 2 1 3 5 4]
6068,512,[9 8 1 2 1 3 4 1 3 4 5 2 1 2 3 4]
14924,1024,[10  2  4  2  7  4  5  1  1  9  4  3  7  4  3  1]
3960,256,[7 4 3 1 5 8 4 2 4 7 6 3 1 2 5 2]
13212,1024,[10  3  2  1  7  6  3  2  8  7  5  3  6  5  4  2]
2828,256,[2 3 2 1 3 4 3 2 7 5 4 1 8 4 3 2]
36992,2048,[11  6  5  1 10  7  4  3  9  8  1  2  7  4  2  1]
5520,512,[9 5 4 3 5 7 6 1 2 3 2 5 1 2 3 1]
16452,1024,[10  6  5  3  1  9  7  1  8  5  4  2  2  1  6  1]
16656,1024,[10  5  4  2  9  6  5  3  8  7  4  2  6  5  2  1]
8420,512,[9 8 4 2 6 5 8 6 1 2 5 3 2 1 2 1]
12936,1024,[10  1  4  1  6  7  5  3  5  8  4  2  3  7  3  1]
16816,1024,[10  5  3  2  9  6  4  3  1  8  7  2  7  4  2  1]
16980,1024,[10  3  2  1  9  6  4  2  8  7  5  3  7  5  4  1]
6448,512,[1 3 2 1 3 4 3 5 4 1 5 1 9 8 6 3]
6412,512,[9 3 1 3 8 5 2 1 4 6 4 2 1 5 2 1]
16928,1024,[10  4  2  1  9  6  5  3  8  7  4  2  7  5  3  1]
7200,512,[9 4 3 1 1 8 5 2 7 6 2 4 2 3 5 2]
13696,1024,[10  5  4  3  4  9  6  2  2  3  4  3  1  2  1  4]
11068,512,[9 3 2 1 8 6 3 2 9 5 4 3 7 4 3 2]
7256,512,[9 5 4 3 3 7 5 2 2 6 8 4 3 4 3 1]
23292,2048,[11  1  2  1  6  7  8  5  5  4  2  3  4  2  1  2]
12660,1024,[ 1  2  4  1  2  3  5  3  5  7  4  2 10  8  7  4]
7448,512,[9 3 5 1 8 5 6 3 3 7 4 1 1 6 1 2]
11916,1024,[10  5  4  3  8  7  3  2  1  3  4  3  2  5  2  1]
10588,512,[9 3 2 1 8 4 3 2 1 9 6 3 6 5 4 1]
14564,1024,[10  6  2  1  1  7  5  3  9  6  3  2  1  3  2  1]
10880,1024,[ 1  2  3  1  2  3  4  6  3  4  7  4 10  5  6  5]
17768,1024,[10  3  2  1  8  5  3  2  9  6  1  3  8  7  3  1]
23348,2048,[11  5  3  2  4  7  4  1  6  8  3  2  4  5  2  1]
7444,512,[9 8 7 6 3 5 6 5 2 3 4 2 1 2 3 1]
16972,1024,[10  5  4  1  9  6  5  3  8  7  3  2  7  5  2  1]
14088,1024,[10  4  5  3  6  9  6  5  3  4  1  4  2  1  3  1]
6996,512,[9 5 4 2 1 2 7 8 2 1 3 2 1 3 6 1]
10148,1024,[ 1  2  4  1  3  1  3  2  1  2  5  4 10  5  7  2]
14600,1024,[10  5  1  2  7  6  3  1  6  3  4  2  3  9  3  1]
11920,1024,[10  2  4  1  4  5  3  2  7  8  4  1  2  5  1  2]
4120,256,[1 7 4 2 6 4 5 3 7 6 4 1 8 4 1 2]
16956,1024,[10  1  2  1  9  6  4  2  8  7  5  3  7  5  4  1]
7784,512,[9 6 5 4 6 7 8 3 4 6 5 2 1 2 4 1]
31444,2048,[10  5  6  1  1 11  4  3  8  4  3  2  4  3  2  1]
16528,1024,[10  3  2  1  9  6  5  3  8  7  4  2  5  6  3  1]
14460,1024,[ 1  2  5  3  4  9  7  1  5  6  4  2  1 10  3  4]
7284,512,[9 8 7 6 3 4 6 4 2 3 4 2 1 2 3 1]
14004,1024,[ 9 10  4  3  7  5  3  2  2  1  2  1  1  2  1  3]
8200,512,[9 7 8 6 4 5 6 7 2 3 5 2 1 2 3 1]
16104,1024,[10  3  2  1  9  5  3  2  8  6  4  1  7  5  1  2]
15900,1024,[ 6  5  4  3  8  6  5  2  9  5  4  1 10  4  1  2]
6444,512,[9 4 3 2 8 1 4 1 4 6 5 3 2 5 2 1]
4912,256,[8 3 2 1 6 7 4 2 5 8 5 3 4 3 2 1]
14300,1024,[10  3  2  1  6  1  4  2  9  6  5  1  6  5  4  2]
14532,1024,[10  4  2  1  1  7  4  2  6  9  5  1  5  4  3  2]
12300,1024,[10  3  1  2  8  5  3  1  7  6  5  2  5  4  3  1]
8208,512,[9 8 7 2 6 7 6 5 3 4 5 4 2 1 2 1]
14284,1024,[10  4  2  1  9  5  1  2  5  7  3  1  1  5  4  2]
12488,1024,[10  1  6  3  5  7  8  5  6  4  3  1  1  3  1  2]
3444,256,[1 2 3 2 2 3 4 3 3 5 6 1 5 6 7 8]
10344,512,[9 5 4 2 1 6 2 1 3 8 9 2 1 4 2 1]
7800,512,[9 3 1 2 8 7 3 1 7 5 4 2 6 4 3 1]
2096,128,[1 2 3 1 2 3 5 2 4 7 4 3 7 6 2 4]
15188,1024,[ 1  2  1  3  5  4  2  1  4  1  4  3 10  9  8  5]
6716,512,[1 3 2 1 7 5 3 2 8 4 2 3 9 3 1 2]
12888,512,[9 4 3 2 8 5 4 3 9 7 6 2 8 4 3 1]
14632,1024,[ 1  6  5  4  2  7  4  3  9  6  3  2 10  3  2  1]
5436,512,[1 2 1 3 2 4 5 4 5 7 6 3 9 4 3 1]
14336,1024,[10  4  2  1  1  5  3  2  9  7  5  1  4  5  4  3]
5468,512,[9 3 2 1 4 7 3 4 5 6 4 1 2 3 5 2]
31448,2048,[11  4  1  3 10  7  2  1  7  6  5  2  6  3  2  1]
12636,1024,[10  4  2  1  2  5  4  2  7  8  7  1  3  5  1  2]
17168,1024,[ 7  6  3  1  8  7  5  2  9  6  2  1 10  5  1  3]
4972,256,[8 1 2 1 3 6 4 3 8 7 3 2 6 4 2 1]
5512,512,[9 1 7 4 3 6 4 3 5 4 3 2 1 5 2 1]
14336,1024,[10  2  4  2  9  6  2  1  7  5  1  2  4  3  2  1]
14680,1024,[10  6  4  3  7  9  6  1  2  3  5  3  1  4  2  1]
7192,512,[1 9 3 2 2 8 5 4 4 7 6 3 1 2 5 1]
12232,1024,[10  3  2  1  4  6  4  2  7  8  5  1  5  4  3  2]
3260,256,[8 7 5 4 5 6 1 3 3 5 3 2 1 3 2 1]
11344,1024,[10  4  3  2  4  1  8  4  2  5  6  3  1  2  3  1]
9716,512,[9 5 3 1 7 6 4 3 9 5 3 2 6 3 2 1]
11724,1024,[10  3  1  2  5  4  3  1  8  6  4  2  6  5  1  3]
12308,1024,[ 1  4  3  2 10  5  2  3  8  7  6  2  2  6  3  1]
10816,1024,[10  4  2  1  2  6  4  2  5  7  6  3  1  5  4  2]
4152,256,[8 5 2 1 1 7 3 2 6 5 6 4 7 2 1 2]
6764,512,[9 3 4 2 2 1 5 4 8 7 3 1 1 3 1 2]
7292,512,[9 7 6 5 4 5 8 3 3 4 5 2 2 3 2 1]
21236,1024,[10  7  2  1  1  8  5  2 10  5  4  1  1  6  3  2]
11364,1024,[10  3  2  1  2  8  3  2  1  5  6  4  2  4  3  1]
16364,1024,[10  6  3  2  9  7  4  1  8  6  5  3  2  1  3  2]
27204,2048,[11  2  4  1  9  4  3  2  8  5  4  3  7  6  1  2]
9968,1024,[ 2  1  2  1  1  6  5  3  2 10  6  2  3  5  4  3]
7380,512,[7 3 2 1 9 8 1 2 2 7 2 1 3 2 4 3]
15704,1024,[10  4  2  1  1  9  3  4  8  6  5  2  6  4  3  1]
31476,2048,[11  3  2  1 10  4  3  4  2  8  5  1  1  6  4  2]
5764,512,[2 1 2 1 1 3 4 2 6 7 6 1 9 6 4 2]
11076,1024,[10  1  7  2  3  7  4  5  5  4  3  2  3  5  2  1]
11716,1024,[10  6  3  2  4  8  6  1  3  4  3  4  2  5  2  1]
5796,256,[8 5 3 2 7 6 7 3 1 8 3 2 2 6 2 1]
14992,1024,[ 2  1  4  1  1  4  2  3  7 10  3  2  9  7  6  3]
16416,1024,[ 1 10  5  3  8  6  4  1  9  7  3  2  2  6  5  1]
12576,1024,[10  6  5  3  4  8  6  1  3  7  5  4  1  4  2  1]
6756,512,[8 6 4 1 6 9 5 3 5 3 4 2 4 2 3 1]
23464,2048,[11  1  2  1  8  4  3  2  7  6  4  3  6  5  2  1]
6700,512,[9 3 2 1 2 8 3 2 7 5 1 3 1 3 4 1]
14800,1024,[10  6  5  4  9  7  4  3  4  5  6  2  1  2  3  1]
15800,1024,[10  3  2  4  1  9  8  3  7  4  3  2  1  2  5  1]
10160,512,[1 2 9 1 2 7 5 2 1 9 7 4 6 5 4 1]
25268,2048,[11  5  4  2  4  7  3  1  1  2  5  9  4  3  2  1]
6712,512,[9 6 5 1 5 8 6 4 2 3 4 3 1 2 3 1]
7504,512,[9 6 5 4 1 7 4 3 5 8 3 2 4 6 2 1]
11608,1024,[ 1  2  1  4  2  3  6  2  3  6  8  3 10  3  5  1]
11932,1024,[ 2  7  1  2  8  4  2  1  2  6  4  2 10  3  2  1]
12504,1024,[10  2  6  5  6  7  8  4  2  3  4  5  1  2  3  1]
11068,512,[9 4 5 1 2 7 3 2 9 8 2 1 6 4 1 3]
17200,1024,[10  4  3  1  9  6  5  2  8  7  4  3  7  6  2  1]
16484,1024,[10  2  3  2  9  6  5  1  8  7  4  2  6  5  3  1]
12720,1024,[ 3  1  2  1  2  3  5  3  3  4  7  5  5 10  8  7]
12072,1024,[ 1  3  2  1  2  4  5  3  4  5  7  5 10  8  1  4]
15712,1024,[ 2  7  3  1  3  8  1  2 10  4  2  4  1  2  9  3]
5080,256,[8 6 5 3 4 5 7 4 3 4 8 3 1 5 2 1]
7612,512,[9 8 7 6 4 5 6 5 2 4 5 4 1 2 3 1]
7124,512,[9 6 5 3 4 7 8 1 1 2 5 4 2 1 2 1]
7384,512,[9 5 4 3 2 8 6 2 6 7 4 1 2 4 1 2]
10956,512,[9 6 5 4 8 1 4 3 9 6 3 2 6 3 2 1]
13084,1024,[10  5  4  1  4  7  5  3  7  8  4  2  6  5  2  1]
16904,1024,[10  4  3  2  9  6  5  1  8  7  4  2  7  5  1  3]
12476,1024,[ 2  1  3  1  3  4  6  2  8  7  5  4  1 10  6  5]
12392,1024,[ 1  3  2  1  4  5  4  2  5  6  8  4 10  7  1  5]
7348,512,[3 7 6 1 1 4 8 2 2 5 9 4 1 6 2 1]
7632,512,[9 5 4 1 8 6 5 3 6 7 4 2 5 4 3 1]
7712,512,[9 6 4 2 4 1 7 1 2 7 8 3 1 2 4 2]
1272,128,[1 6 3 2 3 7 2 1 4 1 3 2 5 3 2 1]
27884,2048,[11  7  3  2  9  8  7  5  4  6  4  2  1  3  2  1]
