score,max_tile,board_state
2316,256,[1 3 1 2 2 1 5 4 3 6 4 3 2 1 8 2]
1312,128,[2 1 4 2 4 5 2 1 2 4 7 3 1 6 2 1]
1328,128,[1 4 2 1 3 7 6 3 1 5 3 2 3 4 2 1]
728,64,[2 1 2 1 1 4 5 2 2 6 4 3 1 4 5 2]
1304,128,[1 2 3 2 2 3 7 6 3 5 2 3 1 3 4 2]
1424,128,[2 1 2 1 3 6 5 2 5 7 3 4 3 4 2 1]
1292,128,[1 3 2 1 4 7 1 2 1 2 5 1 4 1 6 2]
760,64,[1 2 3 2 2 4 5 3 3 5 6 1 2 1 5 2]
264,32,[1 3 1 2 4 2 5 1 2 1 4 3 1 3 2 1]
2100,256,[1 2 3 2 2 3 5 3 3 1 8 5 2 3 2 1]
636,64,[1 3 2 1 2 6 3 4 1 4 5 2 2 3 4 1]
1000,128,[1 3 2 3 4 7 4 1 3 4 3 2 1 3 4 1]
1464,128,[1 4 2 1 3 6 5 4 2 5 7 2 1 4 2 1]
580,64,[1 5 3 1 2 6 1 3 4 2 3 2 1 4 2 1]
560,64,[2 1 2 1 3 5 6 3 2 3 4 2 1 2 3 1]
2768,256,[2 4 1 2 3 2 7 4 2 5 8 3 1 2 3 1]
1044,128,[2 5 1 2 1 3 4 1 2 1 7 5 1 3 2 1]
712,64,[2 4 2 1 4 6 1 2 1 5 2 5 3 2 3 1]
2052,256,[2 3 2 1 4 2 5 4 2 8 3 2 3 4 2 1]
572,64,[1 3 2 1 4 6 4 2 3 5 2 3 2 1 3 2]
1540,128,[1 3 2 1 2 7 4 2 4 6 3 6 2 3 2 1]
1108,128,[2 3 1 2 4 2 5 4 1 7 3 2 4 2 4 1]
1616,128,[2 6 3 1 3 5 6 4 2 7 4 2 1 3 2 1]
1024,128,[1 3 1 2 2 4 3 4 3 2 7 2 1 5 2 1]
640,64,[3 2 3 6 4 5 4 1 2 3 2 4 1 2 3 2]
1312,128,[1 3 2 1 4 7 3 2 2 6 5 1 1 2 4 2]
2968,256,[2 1 4 1 3 6 7 4 1 3 4 2 2 8 2 1]
652,64,[2 1 3 2 1 4 6 5 3 1 5 2 1 3 2 1]
272,32,[2 3 2 1 3 2 4 3 2 5 3 2 1 3 2 1]
1640,128,[2 5 3 1 1 7 1 2 2 6 4 6 1 4 3 1]
344,32,[5 1 3 2 1 2 4 1 2 5 1 3 1 2 3 1]
540,64,[2 1 2 1 4 2 1 3 3 6 3 1 1 5 1 3]
708,64,[1 2 4 1 2 6 2 4 3 5 3 5 1 3 1 2]
852,64,[2 6 2 1 3 5 4 2 1 2 1 3 3 1 6 2]
2904,256,[1 4 5 2 3 8 3 1 2 5 7 2 1 3 4 1]
1116,128,[5 2 1 3 2 4 3 1 1 5 7 3 2 1 4 2]
1460,128,[2 1 3 2 7 4 5 4 3 6 2 3 1 5 3 2]
892,64,[1 5 3 1 2 4 6 2 1 6 2 4 3 2 3 1]
636,64,[2 4 3 1 3 5 6 3 4 2 4 2 2 1 2 1]
1124,128,[1 2 4 2 2 4 7 4 4 5 2 1 3 4 1 2]
1412,128,[1 3 5 2 4 7 3 1 2 5 6 3 1 3 2 1]
1352,128,[1 4 2 1 2 6 1 3 3 5 7 4 1 4 3 1]
692,64,[1 2 5 1 2 3 4 2 6 2 5 4 2 3 2 1]
500,64,[2 1 3 2 4 2 4 1 2 6 3 2 1 4 1 3]
2164,128,[2 5 2 1 7 6 4 2 5 7 3 4 2 1 2 1]
1324,128,[1 2 3 1 5 3 7 4 2 4 6 2 1 2 3 1]
1240,128,[2 4 2 1 4 5 3 4 2 4 7 5 1 2 4 2]
1336,128,[2 1 5 3 1 2 6 4 4 7 2 3 1 2 3 2]
1616,128,[2 5 1 2 7 3 5 1 1 5 6 2 2 4 5 1]
1096,128,[2 3 1 3 1 5 7 5 2 4 2 1 1 3 1 2]
1228,128,[1 4 2 1 4 6 1 3 2 3 7 1 1 4 1 3]
1412,128,[3 5 2 1 1 6 7 2 4 2 4 1 2 1 2 5]
868,64,[2 4 2 1 4 1 5 4 2 6 4 5 1 2 5 2]
1292,128,[2 1 6 3 1 4 3 2 2 3 7 3 1 2 5 2]
1316,128,[2 6 3 2 4 1 7 4 3 5 3 2 2 3 2 1]
720,64,[1 3 2 1 3 5 4 2 1 4 6 5 2 1 4 1]
296,32,[3 1 2 3 1 2 4 1 3 5 2 4 1 2 3 1]
644,64,[2 5 1 2 5 2 3 1 1 6 1 2 2 3 4 1]
1264,128,[2 4 1 4 4 6 2 1 2 4 7 2 1 3 2 1]
1596,128,[1 3 5 4 3 2 6 2 2 6 7 1 1 2 4 2]
756,64,[2 4 3 1 1 3 5 3 2 4 6 4 5 1 3 2]
1468,128,[1 2 4 2 2 7 3 5 5 4 6 2 1 2 4 1]
704,64,[1 4 2 1 2 6 3 5 3 5 4 1 1 3 1 3]
1004,128,[1 3 2 1 4 2 1 3 3 7 5 2 1 2 4 1]
1268,128,[2 1 4 2 1 2 7 1 2 5 6 3 1 2 3 2]
1416,128,[2 5 2 4 3 6 7 1 1 2 5 3 3 1 3 2]
2052,256,[1 2 1 2 3 8 4 1 2 3 5 4 3 4 2 1]
424,32,[1 2 1 2 5 1 4 1 2 5 1 2 1 2 5 1]
1296,128,[1 4 2 3 2 6 3 1 5 1 7 3 1 3 2 1]
656,64,[4 2 3 1 1 4 6 2 2 3 5 4 1 4 3 1]
1152,128,[2 5 2 1 4 2 1 2 5 7 4 3 2 4 3 1]
1136,128,[3 1 4 2 2 7 3 1 5 3 5 2 2 4 3 1]
1048,128,[2 4 1 2 1 3 4 1 5 7 1 3 1 2 4 1]
1356,128,[1 3 4 2 2 7 5 4 3 4 3 2 2 6 2 1]
1180,128,[1 3 2 1 2 1 4 3 3 7 3 2 1 3 6 1]
2012,128,[2 1 4 3 6 3 7 5 2 7 2 3 1 2 3 1]
1264,128,[3 4 2 1 1 3 6 2 2 5 7 1 1 2 1 2]
1344,128,[1 4 1 3 2 6 4 1 3 5 7 3 2 3 2 1]
556,64,[4 2 1 3 2 1 4 1 1 5 6 2 2 1 3 1]
720,64,[4 2 1 4 2 4 2 1 1 6 5 3 2 5 2 1]
312,32,[1 3 1 2 2 5 2 1 3 2 1 5 2 3 2 1]
932,64,[1 2 6 1 4 5 3 4 3 4 6 3 1 3 2 1]
656,64,[2 4 3 1 1 3 5 4 3 4 6 3 1 3 2 1]
776,64,[1 3 1 2 2 1 5 1 5 6 4 2 1 3 5 1]
1000,128,[1 3 1 2 3 2 4 1 1 3 7 5 2 4 2 1]
3180,256,[1 3 5 1 2 7 4 2 3 6 8 5 2 1 4 1]
640,64,[1 3 2 1 3 1 6 3 5 3 5 1 3 1 3 2]
1420,128,[2 4 1 2 5 3 5 1 3 6 4 2 1 7 2 3]
912,64,[2 1 6 2 4 2 3 4 2 6 5 2 1 3 4 1]
